Land,Breitengrade,Laengengrade,Oekologischer_Fussabdruck
Philippines,12.879721,121.774017,1.46785605512825
Poland,51.919438,19.145136,4.75474573046116
Portugal,39.399872,-8.224454,4.55169836312507
Qatar,25.354826,51.183884,14.2709535939946
Republic of Moldova,47.411631,28.369885,1.86865876059607
Republic of North Macedonia,41.608635,21.745275,3.09760168324349
Réunion,-21.115141,55.536384,4.59353837442126
Romania,45.943161,24.96676,3.58438499339697
Russian Federation,61.52401,105.318756,5.31063469397508
Rwanda,-1.940278,29.873888,0.759336481108654
Saint Lucia,13.909444,-60.978893,2.26378623559396
Samoa,-13.759029,-172.104629,2.65161383078762
Sao Tome and Principe,0.18636,6.613081,1.28480353016925
Saudi Arabia,23.885942,45.079162,4.95542646006006
Senegal,14.497401,-14.452362,1.41202258167216
Serbia,44.016521,21.005859,3.07051248737564
Sierra Leone,8.460555,-11.779889,1.1336960483759
Singapore,1.352083,103.819836,5.93148595380357
Slovakia,48.669026,19.699024,4.73146444598599
Slovenia,46.151241,14.995463,5.36620072221973
Solomon Islands,-9.64571,160.156194,1.77170506111888
Somalia,5.152149,46.199616,1.01602168924525
South Africa,-30.559482,22.937506,3.80046224672128
Spain,40.463667,-3.74922,4.39149120613281
Sri Lanka,7.873054,80.771797,1.51318595497033
State of Palestine,31.952162,35.233154,1.14159590324971
Sudan,12.862807,30.217636,1.47523751936257
Suriname,3.919305,-56.027783,3.06456705191719
Sweden,60.128161,18.643501,6.27625567245119
Switzerland,46.818188,8.227512,4.34825013885374
Syrian Arab Republic,34.802075,38.996815,1.3370039365208
Tajikistan,38.861034,71.276093,1.1276497284206
Tanzania, United Republic of,-6.369028,34.888822,1.17295279484151
Thailand,15.870032,100.992541,2.3523667430519
Timor-Leste,-8.874217,125.727539,0.592356130603373
Togo,8.619543,0.824782,1.04373127996458
Tonga,-21.178986,-175.198242,2.92057652446973
Trinidad and Tobago,10.691803,-61.222503,7.44374152727621
Tunisia,33.886917,9.537499,2.02437961501041
Turkey,38.963745,35.243322,3.34522350735326
Turkmenistan,38.969719,59.556278,4.89690790004812
Uganda,1.373333,32.290275,1.0589566182808
Ukraine,48.379433,31.16558,2.42277288986665
United Arab Emirates,23.424076,53.847818,8.09621864465523
United Kingdom,55.378051,-3.435973,4.17932377823987
United States of America,37.09024,-95.712891,8.12238312486328
Uruguay,-32.522779,-55.765835,1.25862051771198
Uzbekistan,41.377491,64.585262,2.03836685222411
Venezuela, Bolivarian Republic of,6.42375,-66.58973,2.39161236459477
Viet Nam,14.058324,108.277199,2.27214566948676
Yemen,15.552727,48.516388,0.508541708003883
Zambia,-13.133897,27.849332,1.28402900804586
Zimbabwe,-19.015438,29.154857,1.21568831532159
